sample_id,area_id,area_name,review_text,lighting_label,lighting_code,police_patrol,keywords_found,keyword_count,area_score,safety_class
1,rohini-sector-3,Rohini Sector 3,"Very dark streets after 8 PM, no streetlights working",poor,0,0,dark,1,10,Unsafe
2,rohini-sector-3,Rohini Sector 3,"Secluded lanes near the park, feels unsafe at night",poor,0,0,secluded|unsafe,2,10,Unsafe
3,rohini-sector-3,Rohini Sector 3,"Deserted road after market closes, no police patrol visible",poor,0,0,deserted,1,10,Unsafe
4,rohini-sector-3,Rohini Sector 3,"Dark alleys connecting sectors, isolated and creepy",poor,0,0,dark|isolated|creepy,3,10,Unsafe
5,hauz-khas-village,Hauz Khas Village,Well-lit area with lots of restaurants and cafes,good,2,1,,0,100,Safe
6,hauz-khas-village,Hauz Khas Village,"Crowded market area, very safe during evening",good,2,1,,0,100,Safe
7,hauz-khas-village,Hauz Khas Village,Good police presence near the main road,good,2,1,,0,100,Safe
8,hauz-khas-village,Hauz Khas Village,"Popular tourist spot, well maintained paths",good,2,1,,0,100,Safe
9,dwarka-sector-12,Dwarka Sector 12,Metro station area is well lit and crowded,moderate,1,0,,0,70,Moderate
10,dwarka-sector-12,Dwarka Sector 12,Internal lanes are dark after 9 PM,moderate,1,0,dark,1,70,Moderate
11,dwarka-sector-12,Dwarka Sector 12,Some secluded spots near the boundary wall,moderate,1,0,secluded,1,70,Moderate
12,dwarka-sector-12,Dwarka Sector 12,Good connectivity but dark parking areas,moderate,1,0,dark,1,70,Moderate
13,connaught-place,Connaught Place,Extremely well-lit commercial area,excellent,1,1,,0,100,Safe
14,connaught-place,Connaught Place,Heavy police patrolling round the clock,excellent,1,1,,0,100,Safe
15,connaught-place,Connaught Place,"Crowded even late at night, very safe",excellent,1,1,,0,100,Safe
16,connaught-place,Connaught Place,Well-maintained walkways and CCTV coverage,excellent,1,1,,0,100,Safe
17,karol-bagh,Karol Bagh,Busy market area during daytime,moderate,1,0,,0,70,Moderate
18,karol-bagh,Karol Bagh,Some dark lanes behind main market after closing hours,moderate,1,0,dark,1,70,Moderate
19,karol-bagh,Karol Bagh,Generally safe but can feel deserted late night,moderate,1,0,deserted,1,70,Moderate
20,karol-bagh,Karol Bagh,Good crowd during shopping hours,moderate,1,0,,0,70,Moderate
21,lajpat-nagar,Lajpat Nagar,Central market is always crowded and well-lit,moderate,1,1,,0,70,Moderate
22,lajpat-nagar,Lajpat Nagar,Side lanes can be dark and secluded at night,moderate,1,1,dark|secluded,2,70,Moderate
23,lajpat-nagar,Lajpat Nagar,Good street food area with lots of foot traffic,moderate,1,1,,0,70,Moderate
24,lajpat-nagar,Lajpat Nagar,Police booth present near the market entrance,moderate,1,1,,0,70,Moderate
25,saket,Saket,Select City Walk area is very well-lit and safe,good,2,1,,0,85,Safe
26,saket,Saket,Mall area has heavy security and CCTV,good,2,1,,0,85,Safe
27,saket,Saket,Residential lanes are moderate with some dark patches,good,2,1,dark,1,85,Safe
