area_id,area_name,latitude,longitude,lighting_label,lighting_code,police_patrol,negative_keywords_count,base_score,computed_score,safety_class,tags,review_1,review_2,review_3,review_4
rohini-sector-3,Rohini Sector 3,28.7155,77.1113,poor,0,0,6,10,10,Unsafe,Low Visibility|Residential,"Very dark streets after 8 PM, no streetlights working","Secluded lanes near the park, feels unsafe at night","Deserted road after market closes, no police patrol visible","Dark alleys connecting sectors, isolated and creepy"
hauz-khas-village,Hauz Khas Village,28.5494,77.2001,good,2,1,0,100,100,Safe,Well-lit|Crowded|Market Area|Police Patrolled,Well-lit area with lots of restaurants and cafes,"Crowded market area, very safe during evening",Good police presence near the main road,"Popular tourist spot, well maintained paths"
dwarka-sector-12,Dwarka Sector 12,28.5921,77.0372,moderate,1,0,2,55,70,Moderate,Metro Connected|Residential,Metro station area is well lit and crowded,Internal lanes are dark after 9 PM,Some secluded spots near the boundary wall,Good connectivity but dark parking areas
connaught-place,Connaught Place,28.6315,77.2167,excellent,1,1,0,100,100,Safe,Well-lit|Police Patrolled|Crowded|CCTV Monitored,Extremely well-lit commercial area,Heavy police patrolling round the clock,"Crowded even late at night, very safe",Well-maintained walkways and CCTV coverage
karol-bagh,Karol Bagh,28.6514,77.1907,moderate,1,0,2,70,70,Moderate,Market Area|Crowded,Busy market area during daytime,Some dark lanes behind main market after closing hours,Generally safe but can feel deserted late night,Good crowd during shopping hours
lajpat-nagar,Lajpat Nagar,28.57,77.2373,moderate,1,1,2,70,70,Moderate,Market Area|Crowded,Central market is always crowded and well-lit,Side lanes can be dark and secluded at night,Good street food area with lots of foot traffic,Police booth present near the market entrance
saket,Saket,28.5245,77.2066,good,2,1,1,85,85,Safe,Well-lit|CCTV Monitored|Metro Connected,Select City Walk area is very well-lit and safe,Mall area has heavy security and CCTV,Residential lanes are moderate with some dark patches,Good metro connectivity
vasant-kunj,Vasant Kunj,28.5206,77.157,poor,0,0,5,25,25,Unsafe,Low Visibility|Near Forest Area,Near the ridge area feels very isolated and unsafe,Dark stretches along the main road at night,No lighting near the construction sites,Creepy vibes near the forested patches
chandni-chowk,Chandni Chowk,28.6506,77.2303,good,2,1,0,100,100,Safe,Well-lit|Crowded|Historic|Police Patrolled,"Extremely crowded during the day, safe for walking",Historic area with lots of shops and vendors,Narrow lanes but always bustling with people,Police presence near Red Fort entrance
nehru-place,Nehru Place,28.5491,77.2533,moderate,1,0,4,40,40,Caution,Commercial Area,IT market area is well lit during business hours,After 7 PM the area becomes completely deserted,Dark parking areas feel unsafe,Isolated lanes near the back of the market
